Table 1
שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית
"כפר הרי""ף",888,KEFAR HARIF,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,837,817,817,,20,1956,310,10,180460628167,70,632,10001821,2024,Kefar Harif,אשכול רשויות שורק דרומי,5535,יואב,3
כפר ויתקין,190,KEFAR VITKIN,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,"2,094","1,778","1,775",3,316,1933,191,,188721698680,14,409,15000060,2024,Kefar Vitkin,ללא שיוך לאשכול,5516,עמק חפר,3
כפר ורבורג,320,KEFAR WARBURG,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,"1,199","1,139","1,139",,60,1939,310,1,174171625275,54,616,10001821,2024,Kefar Warburg,אשכול רשויות שורק דרומי,5533,באר טוביה,3
כפר ורדים,1263,KEFAR WERADIM,2,הצפון,24,עכו,243,99,מועצה מקומית,,1,"5,534","5,490","5,177",313,44,1984,180,,225494766750,533,255,10004484,2024,Kefar Weradim,אשכול רשויות גליל מערבי,1263,כפר ורדים,2
כפר זוהרים,1325,KEFAR ZOHARIM,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,160,160,160,,,1995,340,,192929614364,312,151,15000597,2024,Kefar Zoharim,ללא שיוך לאשכול,5526,מטה יהודה,3
כפר זיתים,786,KEFAR ZETIM,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,727,722,721,1,5,1950,310,1,243713746382,51,206,10004552,2024,Kefar Zetim,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
"כפר חב""ד",696,KEFAR HABAD,4,המרכז,43,רמלה,432,40,מועצה אזורית שדות דן,133,1,"6,391","6,313","6,312",1,78,1949,180,,185973655289,40,425,10002207,2024,Kefar Habad,ללא שיוך לאשכול,5540,שדות דן,3
כפר חושן,609,KEFAR HOSHEN,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,914,873,867,6,41,1949,310,1,241363768589,739,209,10004528,2024,Kefar Hoshen,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
כפר חיטים,255,KEFAR HITTIM,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,622,612,612,,10,1936,320,1,247396745196,31,206,10004552,2024,Kefar Hittim,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
כפר חיים,193,KEFAR HAYYIM,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,667,511,511,,156,1933,310,1,190828695636,23,409,15000060,2024,Kefar Hayyim,ללא שיוך לאשכול,5516,עמק חפר,3
כפר חנניה,1297,KEFAR HANANYA,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,776,775,764,11,1,1990,370,2,239929757810,326,209,10004465,2024,Kefar Hananya,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
כפר חסידים א',112,KEFAR HASIDIM ALEF,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,791,747,744,3,44,1924,310,19,208988739552,14,301,10004207,2024,Kefar Hasidim Alef,אשכול רשויות המפרץ,5512,זבולון,3
כפר חסידים ב',889,KEFAR HASIDIM BET,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,195,191,191,,4,1950,350,,208499739481,17,301,10004207,2024,Kefar Hasidim Bet,אשכול רשויות המפרץ,5512,זבולון,3
כפר חרוב,4004,KEFAR HARUV,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,544,518,518,,26,1974,330,15,262456740996,310,224,10004579,2024,Kefar Haruv,אשכול רשויות גליל מזרחי,5571,גולן,3
כפר טרומן,673,KEFAR TRUMAN,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,142,1,850,806,806,,44,1949,310,1,192972654189,56,424,10002168,2024,Kefar Truman,ללא שיוך לאשכול,5525,חבל מודיעין,3
כפר יאסיף,507,KAFAR YASIF,2,הצפון,24,עכו,245,99,מועצה מקומית,,2,"10,527","10,497",16,"10,481",30,,270,,215585762096,57,252,15002143,2024,Kafar Yasif,אשכול רשויות גליל מערבי,507,כפר יאסיף,2
כפר ידידיה,233,KEFAR YEDIDYA,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,809,743,743,,66,1935,310,1,190647694687,24,409,15000060,2024,Kefar Yedidya,ללא שיוך לאשכול,5516,עמק חפר,3
כפר יהושע,140,KEFAR YEHOSHUA,2,הצפון,23,יזרעאל,235,9,מועצה אזורית עמק יזרעאל,,1,"1,220","1,138","1,138",,82,1927,310,1,214575732021,47,254,10004411,2024,Kefar Yehoshua,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
כפר יונה,168,KEFAR YONA,4,המרכז,41,השרון,411,0,עירייה,141,1,"29,820","29,617","29,595",22,203,1932,160,,193923691327,42,430,15000060,2024,Kefar Yona,אשכול רשויות השרון,168,כפר יונה,1
כפר יחזקאל,85,KEFAR YEHEZQEL,2,הצפון,23,יזרעאל,232,8,מועצה אזורית הגלבוע,,1,"1,224","1,179","1,179",,45,1921,310,1,234036719221,6,204,10004394,2024,Kefar Yehezqel,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
כפר יעבץ,170,KEFAR YA'BEZ,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,721,703,703,,18,1932,310,2,196945686790,51,412,15000060,2024,Kefar Ya'bez,אשכול רשויות השרון,5518,לב השרון,3
כפר כמא,508,KAFAR KAMA,2,הצפון,22,כנרת,222,99,מועצה מקומית,,2,"3,545","3,488",12,"3,476",57,,290,,241575736385,209,251,10004552,2024,Kafar Kama,אשכול רשויות הכנרת והעמקים,508,כפר כמא,2
כפר כנא,509,KAFAR KANNA,2,הצפון,25,יזרעאל,237,99,מועצה מקומית,,2,"25,375","25,349",13,"25,336",26,,260,,232358739062,228,257,15002369,2024,Kafar Kanna,אשכול רשויות הגליל והעמקים,509,כפר כנא,2
כפר מונש,387,KEFAR MONASH,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,953,847,847,,106,1946,310,1,192316694883,16,409,15000060,2024,Kefar Monash,ללא שיוך לאשכול,5516,עמק חפר,3
כפר מימון,1095,KEFAR MAYMON,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,1,932,880,880,,52,1959,310,2,155896593550,99,651,10001930,2024,Kefar Maymon,אשכול רשויות נגב מערבי,5539,שדות נגב,3
"כפר מל""ל",98,KEFAR MALAL,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,131,1,307,299,299,,8,1922,310,1,190175674999,63,417,10002133,2024,Kefar Malal,אשכול רשויות השרון,5520,דרום השרון,3
כפר מנדא,510,KAFAR MANDA,2,הצפון,24,עכו,241,99,מועצה מקומית,,2,"22,267","22,066",6,"22,060",201,,260,,224714746138,180,261,10004513,2024,Kafar Manda,ללא שיוך לאשכול,510,כפר מנדא,2
כפר מנחם,274,KEFAR MENAHEM,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,"1,342","1,323","1,323",,19,1937,330,15,184241626394,110,632,10001821,2024,Kefar Menahem,אשכול רשויות שורק דרומי,5535,יואב,3
כפר מסריק,297,KEFAR MASARYK,2,הצפון,24,עכו,246,4,מועצה אזורית מטה אשר,241,1,851,838,838,,13,1938,330,15,209708755060,4,201,10004315,2024,Kefar Masaryk,אשכול רשויות גליל מערבי,5504,מטה אשר,3
כפר מצר,512,KAFAR MISR,2,הצפון,25,יזרעאל,233,66,מועצה אזורית בוסתן אל-מרג',,2,"2,816","2,806",2,"2,804",10,,290,,239877727932,112,251,15002472,2024,Kafar Misr,אשכול רשויות הגליל והעמקים,5566,בוסתן אל-מרג',3
כפר מרדכי,764,KEFAR MORDEKHAY,4,המרכז,44,רחובות,441,32,מועצה אזורית גדרות,143,1,666,631,631,,35,1950,310,10,176889637720,41,456,15002488,2024,Kefar Mordekhay,ללא שיוך לאשכול,5532,גדרות,3
כפר נטר,316,KEFAR NETTER,4,המרכז,41,השרון,411,19,מועצה אזורית חוף השרון,141,1,986,971,968,3,15,1939,310,10,188097686905,24,401,15000060,2024,Kefar Netter,ללא שיוך לאשכול,5519,חוף השרון,3
כפר סאלד,345,KEFAR SZOLD,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,720,696,696,,24,1942,330,15,261752789004,122,253,10004591,2024,Kefar Szold,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
כפר סבא,6900,KEFAR SAVA,4,המרכז,42,פתח תקווה,421,0,עירייה,131,1,"99,410","97,231","97,000",231,"2,179",1903,150,,191952676448,52,405,10002133,2024,Kefar Sava,אשכול רשויות השרון,6900,כפר סבא,1
כפר סילבר,107,KEFAR SILVER,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,253,253,253,,,1957,340,,163253620228,55,633,10001821,2024,Kefar Silver,אשכול רשויות נגב מערבי,5536,חוף אשקלון,3
כפר סירקין,249,KEFAR SIRKIN,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,142,1,"1,439","1,385","1,385",,54,1936,310,,192997664883,41,417,10002116,2024,Kefar Sirkin,אשכול רשויות השרון,5520,דרום השרון,3
כפר עבודה,875,KEFAR AVODA,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,174,174,173,1,,1942,340,,194617684788,70,412,15000060,2024,Kefar Avoda,אשכול רשויות השרון,5518,לב השרון,3
כפר עזה,845,KEFAR AZZA,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,964,926,926,,38,1951,330,15,155552599254,89,651,10001829,2024,Kefar Azza,אשכול רשויות נגב מערבי,5537,שער הנגב,3
כפר עציון,3488,KEFAR EZYON,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,"1,209","1,156","1,125",31,53,1967,330,3,211038617453,934,714,15000586,2024,Kefar Ezyon,ללא שיוך לאשכול,5576,גוש עציון,3
כפר פינס,189,KEFAR PINES,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,691,686,686,,5,1933,310,2,200463710002,60,351,10004333,2024,Kefar Pines,אשכול רשויות מישור החוף,5514,מנשה,3
כפר קאסם,634,KAFAR QASEM,4,המרכז,42,פתח תקווה,422,0,עירייה,142,2,"27,997","26,939",30,"26,909","1,058",,260,,197581669147,84,451,15000658,2024,Kafar Qasem,אשכול רשויות השרון,634,כפר קאסם,1
כפר קיש,388,KEFAR KISCH,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,779,763,749,14,16,1946,310,1,242404730313,83,206,15002472,2024,Kefar Kisch,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
כפר קרע,654,KAFAR QARA,3,חיפה,32,חדרה,323,0,עירייה,,2,"21,067","21,011",18,"20,993",56,,260,,205020712373,109,354,10004233,2024,Kafar Qara,אשכול רשויות מישור החוף,654,כפר קרע,1
כפר ראש הנקרה,579,KEFAR ROSH HANIQRA,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,,1,"1,383","1,353","1,350",3,30,1949,330,15,211122776774,34,201,10004302,2024,Kefar Rosh HaNiqra,אשכול רשויות גליל מערבי,5504,מטה אשר,3
כפר רוזנואלד (זרעית),1130,KEFAR ROZENWALD(ZARIT),2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,351,266,266,,85,1967,310,1,227290778317,622,255,10004302,2024,Kefar Rozenwald(Zarit),אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
כפר רופין,295,KEFAR RUPPIN,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,620,596,596,,24,1938,330,15,252570707136,-246,202,10004568,2024,Kefar Ruppin,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
כפר רות,1166,KEFAR RUT,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,402,272,272,,130,1977,310,1,203023646340,286,424,10002277,2024,Kefar Rut,ללא שיוך לאשכול,5525,חבל מודיעין,3
כפר שמאי,605,KEFAR SHAMMAY,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,626,596,596,,30,1949,310,2,243089762447,636,209,10004528,2024,Kefar Shammay,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
כפר שמואל,743,KEFAR SHEMU'EL,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,983,918,918,,65,1950,310,6,193712644170,107,426,10002228,2024,Kefar Shemu'el,ללא שיוך לאשכול,5530,גזר,3
כפר שמריהו,267,KEFAR SHEMARYAHU,5,תל אביב,51,תל אביב,511,99,מועצה מקומית,121,1,"1,981","1,908","1,894",14,73,1937,350,,183306677018,31,504,10001605,2024,Kefar Shemaryahu,ללא שיוך לאשכול,267,כפר שמריהו,2
כפר תבור,47,KEFAR TAVOR,2,הצפון,22,כנרת,222,99,מועצה מקומית,,1,"4,275","4,200","4,163",37,75,1901,190,,239714732528,103,251,15002472,2024,Kefar Tavor,אשכול רשויות הכנרת והעמקים,47,כפר תבור,2
כפר תפוח,3572,KEFAR TAPPUAH,7,אזור יהודה ושומרון,73,טול כרם,,72,מועצה אזורית שומרון,,1,"1,605","1,605","1,605",,,1978,370,2,223764669483,653,710,15004488,2024,Kefar Tappuah,אשכול יהודה ושומרון,5572,שומרון,3
כרכום,1285,KARKOM,2,הצפון,21,צפת,213,55,מועצה אזורית מבואות החרמון,,1,445,435,433,2,10,1988,370,13,257195759499,97,253,10004540,2024,Karkom,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
כרם ביבנה (ישיבה),1094,KEREM BEYAVNE,4,המרכז,44,רחובות,441,29,מועצה אזורית חבל יבנה,143,1,520,520,520,,,1963,340,,173813636283,50,456,10001821,2024,Kerem Beyavne,אשכול רשויות שורק דרומי,5529,חבל יבנה,3
כרם בן זמרה,664,KEREM BEN ZIMRA,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,705,572,572,,133,1949,310,2,244005771476,822,209,10004528,2024,Kerem Ben Zimra,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
כרם בן שמן,88,KEREM BEN SHEMEN,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,142,1,132,131,131,,1,1958,350,,193800651733,80,424,10002261,2024,Kerem Ben Shemen,ללא שיוך לאשכול,5525,חבל מודיעין,3
"כרם מהר""ל",580,KEREM MAHARAL,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,243,1,920,881,868,13,39,1949,310,1,199381727980,93,303,10004333,2024,Kerem Maharal,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
כרם שלום,1085,KEREM SHALOM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,232,232,225,7,,1956,330,15,131788571050,88,651,10001893,2024,Kerem Shalom,אשכול רשויות נגב מערבי,5538,אשכול,3
כרמי יוסף,1264,KARME YOSEF,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,"1,761","1,677","1,677",,84,1984,350,,192561639463,222,426,10002228,2024,Karme Yosef,ללא שיוך לאשכול,5530,גזר,3
כרמי צור,3766,KARME ZUR,7,אזור יהודה ושומרון,77,חברון,,76,מועצה אזורית גוש עציון,,1,987,985,985,,2,1984,370,2,209580612946,936,714,15000586,2024,Karme Zur,ללא שיוך לאשכול,5576,גוש עציון,3
כרמי קטיף,1374,KARME KATIF,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,833,826,826,,7,2016,370,,191673605082,338,634,10001813,2024,Karme Katif,ללא שיוך לאשכול,5550,לכיש,3
כרמיאל,1139,KARMI'EL,2,הצפון,24,עכו,242,0,עירייה,,1,"47,941","47,470","44,677","2,793",471,1964,160,,227613757349,270,208,10004465,2024,Karmi'el,אשכול רשויות בית הכרם הגלילי,1139,כרמיאל,1
כרמייה,768,KARMIYYA,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,731,720,720,,11,1950,330,15,156588612726,29,633,10001829,2024,Karmiyya,אשכול רשויות נגב מערבי,5536,חוף אשקלון,3
כרמים,1198,KERAMIM,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,601,601,601,,,1980,330,15,192203582485,405,625,10001937,2024,Keramim,אשכול רשויות נגב מערבי,5541,בני שמעון,3
כרמל,3656,KARMEL,7,אזור יהודה ושומרון,77,חברון,,78,מועצה אזורית הר חברון,,1,678,669,669,,9,1981,320,11,217399593284,712,715,15003512,2024,Karmel,אשכול יהודה ושומרון,5578,הר חברון,3
לבון,1207,LAVON,2,הצפון,24,עכו,243,56,מועצה אזורית משגב,,1,883,881,880,1,2,1980,350,,227158760856,573,205,15002358,2024,Lavon,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
לביא,585,LAVI,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,659,644,644,,15,1949,330,3,241710743663,299,206,10004552,2024,Lavi,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
לבנים,1230,LIVNIM,2,הצפון,21,צפת,214,2,מועצה אזורית מרום הגליל,,1,516,514,513,1,2,1982,310,1,246611752147,-52,209,10004552,2024,Livnim,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
להב,2023,LAHAV,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,693,659,659,,34,1952,330,15,187514587545,455,625,10001937,2024,Lahav,אשכול רשויות נגב מערבי,5541,בני שמעון,3
להבות הבשן,380,LAHAVOT HABASHAN,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,865,839,837,2,26,1945,330,15,260781782995,89,253,10004591,2024,Lahavot HaBashan,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
להבות חביבה,715,LAHAVOT HAVIVA,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,"1,004",976,976,,28,1949,330,15,201092700136,43,351,15002436,2024,Lahavot Haviva,אשכול רשויות מישור החוף,5514,מנשה,3
להבים,1271,LEHAVIM,6,הדרום,62,באר שבע,623,99,מועצה מקומית,341,1,"8,028","7,968","7,263",705,60,1985,180,,182170586424,296,619,10001946,2024,Lehavim,ללא שיוך לאשכול,1271,להבים,2
לוד,7000,LOD,4,המרכז,43,רמלה,432,0,עירייה,133,4,"94,189","90,797","63,970","26,827","3,392",1948,150,,189575650930,55,406,10002261,2024,Lod,ללא שיוך לאשכול,7000,לוד,1
לוזית,52,LUZIT,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,881,873,872,1,8,1955,310,1,189314621648,190,151,15000597,2024,Luzit,ללא שיוך לאשכול,5526,מטה יהודה,3
לוחמי הגיטאות,595,LOHAME HAGETA'OT,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,988,963,962,1,25,1949,330,15,209505763198,17,201,10004302,2024,Lohame HaGeta'ot,אשכול רשויות גליל מערבי,5504,מטה אשר,3
לוטם,1171,LOTEM,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,,1,702,702,648,54,,1978,330,15,233764754252,316,205,10004513,2024,Lotem,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
לוטן,1255,LOTAN,6,הדרום,62,באר שבע,625,53,מועצה אזורית חבל אילות,,1,270,239,239,,31,1983,330,15,208139433229,123,608,10001955,2024,Lotan,אשכול רשויות נגב מזרחי,5553,חבל אילות,3
לימן,674,LIMAN,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,896,882,882,,14,1949,310,1,210897773865,15,201,10004302,2024,Liman,אשכול רשויות גליל מערבי,5504,מטה אשר,3
לכיש,24,LAKHISH,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,"1,398",819,819,,579,1955,310,1,185055607722,247,634,10001813,2024,Lakhish,ללא שיוך לאשכול,5550,לכיש,3
לפיד,1310,LAPPID,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,"2,001","1,993","1,993",,8,1996,190,,203207647169,268,424,10002277,2024,Lappid,ללא שיוך לאשכול,5525,חבל מודיעין,3
לפידות,1173,LAPPIDOT,2,הצפון,24,עכו,243,52,מועצה אזורית מעלה יוסף,,1,149,149,149,,,1978,310,1,224822762657,471,255,10004484,2024,Lappidot,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
לקיה,1060,LAQYE,6,הדרום,62,באר שבע,623,99,מועצה מקומית,341,2,"19,361","19,359",2,"19,357",2,,270,,187377581425,391,652,10001937,2024,Laqye,אשכול רשויות נגב מערבי,1060,לקיה,2
מאור,2055,MA'OR,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,"1,736","1,696","1,696",,40,1953,310,1,200797703411,32,351,15002436,2024,Ma'or,אשכול רשויות מישור החוף,5514,מנשה,3
מאיר שפיה,102,ME'IR SHEFEYA,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,,1,141,141,124,17,,1923,340,,197569721906,107,303,10004333,2024,Me'ir Shefeya,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
מבוא ביתר,771,MEVO BETAR,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,"1,153","1,141","1,141",,12,1950,320,9,210179625548,754,151,15000597,2024,Mevo Betar,ללא שיוך לאשכול,5526,מטה יהודה,3
מבוא דותן,3569,MEVO DOTAN,7,אזור יהודה ושומרון,71,ג'נין,,72,מועצה אזורית שומרון,,1,777,774,774,,3,1978,370,11,216662702986,314,710,15004488,2024,Mevo Dotan,אשכול יהודה ושומרון,5572,שומרון,3
מבוא חורון,3709,MEVO HORON,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,,1,"2,659","2,598","2,598",,61,1970,192,8,203456639605,243,711,10004054,2024,Mevo Horon,אשכול יהודה ושומרון,5573,מטה בנימין,3
מבוא חמה,4204,MEVO HAMMA,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,568,545,545,,23,1968,330,15,261724738212,347,224,10004579,2024,Mevo Hamma,אשכול רשויות גליל מזרחי,5571,גולן,3
מבוא מודיעים,1141,MEVO MODI'IM,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,187,184,184,,3,1964,370,8,198920648964,209,424,10002277,2024,Mevo Modi'im,ללא שיוך לאשכול,5525,חבל מודיעין,3
מבואות ים,1318,MEVO'OT YAM,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,112,112,112,,,1954,340,,187827701086,3,409,15000060,2024,Mevo'ot Yam,ללא שיוך לאשכול,5516,עמק חפר,3
מבואות יריחו,3825,MEVO'OT YERIHO,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,492,490,490,,2,2019,370,,239669645897,-104,712,10003299,2024,Mevo'ot Yeriho,אשכול יהודה ושומרון,5575,ערבות הירדן,3
מבועים,1080,MABBU'IM,6,הדרום,62,באר שבע,621,42,מועצה אזורית מרחבים,,1,"1,334","1,154","1,145",9,180,1958,350,,167181595445,170,651,10001930,2024,Mabbu'im,אשכול רשויות נגב מערבי,5542,מרחבים,3
מבטחים,829,MIVTAHIM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,"1,070",505,505,,565,1950,310,1,143570572366,129,651,10001893,2024,Mivtahim,אשכול רשויות נגב מערבי,5538,אשכול,3
מבקיעים,573,MAVQI'IM,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,526,503,503,,23,1949,310,6,159914614592,57,633,10001829,2024,Mavqi'im,אשכול רשויות נגב מערבי,5536,חוף אשקלון,3
מבשרת ציון,1015,MEVASSERET ZIYYON,1,ירושלים,11,ירושלים,111,99,מועצה מקומית,444,1,"26,534","26,089","25,966",123,445,1951,160,,214417634125,719,152,10002475,2024,Mevasseret Ziyyon,ללא שיוך לאשכול,1015,מבשרת ציון,2
מג'ד אל-כרום,516,MAJD AL-KURUM,2,הצפון,24,עכו,242,99,מועצה מקומית,,2,"15,429","15,326",8,"15,318",103,,270,,224140758460,243,260,15002358,2024,Majd al-Kurum,אשכול רשויות בית הכרם הגלילי,516,מג'ד אל-כרום,2
מג'דל שמס,4201,MAJDAL SHAMS,2,הצפון,29,גולן,291,99,מועצה מקומית,,2,"11,264","11,260",2,"11,258",4,,270,,272174796593,1226,256,10004579,2024,Majdal Shams,אשכול רשויות גליל מזרחי,4201,מג'דל שמס,2
מגאר,481,MUGHAR,2,הצפון,22,כנרת,222,0,עירייה,,2,"23,486","23,448",11,"23,437",38,,260,,238899754708,147,251,10004552,2024,Mughar,אשכול רשויות הכנרת והעמקים,481,מגאר,1
מגדים,689,MEGADIM,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,223,1,"1,215","1,141","1,137",4,74,1949,310,1,196457737271,15,303,10004710,2024,Megadim,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
מגדל,65,MIGDAL,2,הצפון,22,כנרת,221,99,מועצה מקומית,,1,"2,161","2,084","2,034",50,77,1910,190,,247441749356,-88,251,10004552,2024,Migdal,אשכול רשויות הכנרת והעמקים,65,מגדל,2
מגדל העמק,874,MIGDAL HAEMEQ,2,הצפון,23,יזרעאל,237,0,עירייה,,1,"28,431","28,127","28,103",24,304,1952,160,,223056731504,199,221,10004411,2024,Migdal HaEmeq,אשכול רשויות הגליל והעמקים,874,מגדל העמק,1
מגדל עוז,3561,MIGDAL OZ,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,615,605,605,,10,1977,330,3,213595616417,938,714,15000586,2024,Migdal Oz,ללא שיוך לאשכול,5576,גוש עציון,3
מגדל תפן,1722,,2,הצפון,24,עכו,243,99,מועצה מקומית,,,,,,,,,520,,226157764492,649,255,10004484,2024,,אשכול רשויות גליל מערבי,1722,מגדל תפן,2
מגדלים,3751,MIGDALIM,7,אזור יהודה ושומרון,72,שכם,,72,מועצה אזורית שומרון,,1,790,788,788,,2,1983,370,11,232484666373,774,710,15004488,2024,Migdalim,אשכול יהודה ושומרון,5572,שומרון,3
מגידו,586,MEGIDDO,2,הצפון,23,יזרעאל,234,13,מועצה אזורית מגידו,,1,969,939,939,,30,1949,330,15,217131720682,152,254,10004411,2024,Megiddo,אשכול רשויות הגליל והעמקים,5513,מגידו,3
מגל,375,MAGGAL,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,"1,403","1,382","1,382",,21,1953,330,15,203348699106,71,351,15002436,2024,Maggal,אשכול רשויות מישור החוף,5514,מנשה,3
מגן,695,MAGEN,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,540,511,501,10,29,1949,330,15,145434578933,119,651,10001893,2024,Magen,אשכול רשויות נגב מערבי,5538,אשכול,3
מגן שאול,1155,MAGEN SHA'UL,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,915,856,856,,59,1976,310,1,229149714124,83,204,10004394,2024,Magen Sha'ul,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
